0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.7912087912
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.8
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8181818182
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8181818182
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8409090909
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.8409090909
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8222222222
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.8409090909
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8222222222
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.8043478261
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.8409090909
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.8409090909
